Provider Number,Hospital Name,State,ZIP Code,County Name,heart attack,heart failure,Pneumonia
10043,CHILTON MEDICAL CENTER,AL,35045,CHILTON,Not Available,11.5,11.2
10044,MARION REGIONAL MEDICAL CENTER,AL,35570,MARION,Not Available,11.5,10
10045,FAYETTE MEDICAL CENTER,AL,35555,FAYETTE,16.7,11.7,12.9
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,35901,ETOWAH,16.9,10.8,12.7
10047,GEORGIANA HOSPITAL,AL,36033,BUTLER,14.5,10.8,11.3
10049,MEDICAL CENTER ENTERPRISE,AL,36330,COFFEE,16.6,12.9,12.9
10050,ST VINCENTS BLOUNT,AL,35121,BLOUNT,Not Available,13,15.3
10051,GREENE COUNTY HOSPITAL,AL,35462,GREENE,Not Available,11.2,11.5
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,36853,TALLAPOOSA,Not Available,10.9,10.8
10054,PARKWAY MEDICAL CENTER,AL,35601,MORGAN,15.8,10.5,11.9
10055,FLOWERS HOSPITAL,AL,36305,HOUSTON,15.2,12,11.3
10056,ST VINCENT'S BIRMINGHAM,AL,35205,JEFFERSON,16.2,10.6,12.6
10058,BIBB MEDICAL CENTER,AL,35042,BIBB,Not Available,14,13.6
10059,LAWRENCE MEDICAL CENTER,AL,35650,LAWRENCE,15.6,9.9,9.8
10061,HIGHLANDS MEDICAL CENTER,AL,35768,JACKSON,15,13.4,12.9
10062,WIREGRASS MEDICAL CENTER,AL,36340,GENEVA,Not Available,10.6,12.3
10065,RUSSELL HOSPITAL,AL,35010,TALLAPOOSA,17.1,11.6,14.9
10066,FLORALA MEMORIAL HOSPITAL,AL,36442,COVINGTON,Not Available,10.4,12.1
10069,MEDICAL CENTER BARBOUR,AL,36027,BARBOUR,Not Available,13.5,15
10073,CLAY COUNTY HOSPITAL,AL,36251,CLAY,16.7,12.6,11.8
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,AL,36207,CALHOUN,15.6,11.2,13.2
10079,ATHENS-LIMESTONE HOSPITAL,AL,35611,LIMESTONE,15,11.7,12.1
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,36535,BALDWIN,15.8,15.1,9.8
10085,DECATUR GENERAL HOSPITAL,AL,35609,MORGAN,16.8,10.9,11.9
10086,NORTHWEST MEDICAL CENTER,AL,35594,MARION,Not Available,11.8,13.1
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,AL,36617,MOBILE,Not Available,12.5,Not Available
10089,WALKER BAPTIST MEDICAL CENTER,AL,35502,WALKER,17,10.8,11.9
10090,PROVIDENCE HOSPITAL,AL,36608,MOBILE,15.2,13.5,10.6
10091,GROVE HILL MEMORIAL HOSPITAL,AL,36451,CLARKE,Not Available,10.4,12.1
10092,D C H REGIONAL MEDICAL CENTER,AL,35401,TUSCALOOSA,15.8,11.2,11.3
10095,HALE COUNTY HOSPITAL,AL,36744,HALE,Not Available,10.7,11.5
10097,ELMORE COMMUNITY HOSPITAL,AL,36092,ELMORE,Not Available,11.3,11.2
10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,36426,ESCAMBIA,15.7,14.8,12.6
10100,THOMAS HOSPITAL,AL,36532,BALDWIN,14.7,12.8,13.1
10101,CITIZENS BAPTIST MEDICAL CENTER,AL,35161,TALLADEGA,17.3,14.9,12.1
10102,J PAUL JONES HOSPITAL,AL,36726,WILCOX,Not Available,Not Available,11.4
10103,BAPTIST MEDICAL CENTER-PRINCETON,AL,35211,JEFFERSON,14.9,11.4,11.6
10104,TRINITY MEDICAL CENTER,AL,35213,JEFFERSON,16.8,12.9,13.9
10108,PRATTVILLE BAPTIST HOSPITAL,AL,36067,AUTAUGA,14.6,14.8,14.2
10109,PICKENS COUNTY MEDICAL CENTER,AL,35447,PICKENS,Not Available,12.6,12.4
10110,BULLOCK COUNTY HOSPITAL,AL,36089,BULLOCK,Not Available,12.3,12.1
10112,BRYAN W WHITFIELD MEM HOSP INC,AL,36732,MARENGO,Not Available,11.7,9.1
10113,MOBILE INFIRMARY,AL,36652,MOBILE,19.3,10.7,12.5
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,35021,JEFFERSON,15.3,11.4,12.1
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,AL,36701,DALLAS,14.7,12,14
10120,MONROE COUNTY HOSPITAL,AL,36461,MONROE,Not Available,13,15.6
10125,LAKELAND COMMUNITY HOSPITAL,AL,35565,WINSTON,Not Available,13.6,10.7
10126,TROY REGIONAL MEDICAL CENTER,AL,36081,PIKE,Not Available,11.2,11.1
10128,JACKSON MEDICAL CENTER,AL,36545,CLARKE,Not Available,12.3,9.3
10129,NORTH BALDWIN INFIRMARY,AL,36507,BALDWIN,Not Available,11.5,14.6
10130,ST VINCENT'S ST CLAIR,AL,35125,SAINT CLAIR,Not Available,10.8,11.4
10131,CRESTWOOD MEDICAL CENTER,AL,35801,MADISON,13.3,13.8,10.4
10137,COOPER GREEN MERCY HOSPITAL,AL,35233,JEFFERSON,Not Available,Not Available,Not Available
10138,HILL HOSPITAL OF SUMTER COUNTY,AL,36925,SUMTER,Not Available,Not Available,Not Available
10139,BROOKWOOD MEDICAL CENTER,AL,35209,JEFFERSON,16.5,13.5,13
10144,SPRINGHILL MEDICAL CENTER,AL,36608,MOBILE,16,10.4,13.8
10146,JACKSONVILLE MEDICAL CENTER,AL,36265,CALHOUN,Not Available,16.4,19.2
10148,EVERGREEN MEDICAL CENTER,AL,36401,CONECUH,Not Available,9.1,12
10149,BAPTIST MEDICAL CENTER EAST,AL,36117,MONTGOMERY,14.2,9.6,10.2
01014F,BIRMINGHAM VA MEDICAL CENTER,AL,35233,JEFFERSON,16.1,10.4,11
10150,L V STABLER MEMORIAL HOSPITAL,AL,36037,BUTLER,Not Available,11.1,13
10152,INFIRMARY WEST,AL,36693,MOBILE,Not Available,12.5,13.1
10157,SHOALS HOSPITAL,AL,35661,COLBERT,Not Available,13.6,12.8
10158,RUSSELLVILLE HOSPITAL,AL,35653,FRANKLIN,Not Available,14.8,11.5
10164,COOSA VALLEY MEDICAL CENTER,AL,35150,TALLADEGA,15.2,11.7,11.4
10168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,36867,RUSSELL,Not Available,10.8,10.9
10169,ATMORE COMMUNITY HOSPITAL,AL,36502,ESCAMBIA,Not Available,10.8,13
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,AL,36109,MONTGOMERY,Not Available,12.2,11.3
01021F,TUSCALOOSA VA MEDICAL CENTER,AL,35404,TUSCALOOSA,Not Available,Not Available,Not Available
11300,WASHINGTON COUNTY HOSPITAL,AL,36518,WASHINGTON,Not Available,Not Available,Not Available
11302,RED BAY HOSPITAL,AL,35582,FRANKLIN,Not Available,12.6,11.6
13301,UNIV OF S AL CHILDREN'S & WOMEN'S HOS,AL,36604,MOBILE,Not Available,Not Available,Not Available
20001,PROVIDENCE ALASKA MEDICAL CENTER,AK,99519,ANCHORAGE,13.4,12.4,10.5
20006,MAT-SU REGIONAL MEDICAL CENTER,AK,99645,MATANUSKA SUSITNA,17.7,11.4,12.1
20008,BARTLETT REGIONAL HOSPITAL,AK,99801,JUNEAU,Not Available,11.6,11.6
20012,FAIRBANKS MEMORIAL HOSPITAL,AK,99701,FAIRBANKS NORTH STAR,15.5,15.6,13.4
20017,ALASKA REGIONAL HOSPITAL,AK,99508,ANCHORAGE,14.5,13.4,12.5
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,99559,BETHEL,Not Available,11.2,9.7
20024,CENTRAL PENINSULA GENERAL HOSPITAL,AK,99669,KENAI PENINSULA,Not Available,11.6,13.8
20026,ALASKA NATIVE MEDICAL CENTER,AK,99508,ANCHORAGE,15.7,11.6,15.5
20027,MT EDGECUMBE HOSPITAL,AK,99835,SITKA,Not Available,Not Available,14.2
21301,PROVIDENCE VALDEZ MEDICAL CENTER,AK,99686,VALDEZ CORDOVA,Not Available,Not Available,Not Available
21302,PROVIDENCE SEWARD HOSPITAL,AK,99664,KENAI PENINSULA,Not Available,Not Available,Not Available
21303,SITKA COMMUNITY HOSPITAL,AK,99835,SITKA,Not Available,Not Available,11.5
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,AK,99615,KODIAK ISLAND,Not Available,Not Available,12
21307,CORDOVA COMMUNITY MEDICAL CENTER,AK,99574,VALDEZ CORDOVA,Not Available,Not Available,Not Available
21308,NORTON SOUND REGIONAL HOSPITAL,AK,99762,NOME,Not Available,Not Available,11.6
21311,PEACEHEALTH KETCHIKAN MEDICAL             CENTER,AK,99901,KETCHIKAN GATEWAY,Not Available,11.4,11.3
21313,SOUTH PENINSULA HOSPITAL,AK,99603,KENAI PENINSULA,Not Available,10.8,12.2
30001,MARYVALE HOSPITAL,AZ,85031,MARICOPA,Not Available,11,11.9
30002,BANNER GOOD SAMARITAN MEDICAL CENTER,AZ,85006,MARICOPA,13.6,8.7,11.1
30006,TUCSON MEDICAL CENTER,AZ,85712,PIMA,14.1,13,11.7
30007,VERDE VALLEY MEDICAL CENTER,AZ,86326,YAVAPAI,20,9.6,13.2
30010,CARONDELET ST  MARYS HOSPITAL,AZ,85745,PIMA,17.2,10.9,10.9
30011,CARONDELET ST JOSEPHS HOSPITAL,AZ,85711,PIMA,16.5,9.7,15
30012,YAVAPAI REGIONAL MEDICAL CENTER,AZ,86301,YAVAPAI,14.3,12.7,11.7
30013,YUMA REGIONAL MEDICAL CENTER,AZ,85364,YUMA,13.7,13.5,13.8
30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,AZ,85020,MARICOPA,14.7,10.6,10
30016,CASA GRANDE REGIONAL MEDICAL CENTER,AZ,85222,PINAL,15.4,12.4,15.1
30022,MARICOPA MEDICAL CENTER,AZ,85008,MARICOPA,Not Available,Not Available,Not Available
30023,FLAGSTAFF MEDICAL CENTER,AZ,86001,COCONINO,13.6,12.8,10.2
30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,AZ,85013,MARICOPA,17,11.1,12.3
30030,PHOENIX BAPTIST HOSPITAL,AZ,85015,MARICOPA,17.3,12.4,15.3
30033,PAYSON REGIONAL MEDICAL CENTER,AZ,85541,GILA,Not Available,10.1,15
30036,CHANDLER REGIONAL MEDICAL CENTER,AZ,85224,MARICOPA,15.4,10.1,10.5
30037,ST LUKES MEDICAL CENTER,AZ,85006,MARICOPA,15.5,10.5,12.5
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,AZ,85251,MARICOPA,16.6,10.3,11.6
30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,AZ,85635,COCHISE,15.8,12.3,11.1
30055,KINGMAN REGIONAL MEDICAL CENTER,AZ,86409,MOHAVE,15.7,9.5,12.2
30061,BANNER BOSWELL MEDICAL CENTER,AZ,85351,MARICOPA,14.7,11.8,11.4
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,85901,NAVAJO,14.2,11.3,13.5
30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",AZ,85724,PIMA,14.2,9.5,10.1
30065,BANNER DESERT MEDICAL CENTER,AZ,85202,MARICOPA,14,10,10.1
30067,LA PAZ REGIONAL HOSPITAL,AZ,85344,LA PAZ,14.2,11.3,11.7
30068,MT GRAHAM REGIONAL MEDICAL CENTER,AZ,85546,GRAHAM,Not Available,14,11.9
30069,HAVASU REGIONAL MEDICAL CENTER,AZ,86403,MOHAVE,19.1,12.3,17.1
30071,FORT DEFIANCE INDIAN HOSPITAL,AZ,86504,APACHE,Not Available,Not Available,12.4
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,86045,COCONINO,Not Available,11,10.6
30074,SELLS INDIAN HEALTH SERVICE HOSPITAL,AZ,85634,PIMA,Not Available,Not Available,Not Available
30077,SAN CARLOS INDIAN HOSPITAL,AZ,85550,GILA,Not Available,Not Available,Not Available
30078,PHOENIX INDIAN MEDICAL CENTER,AZ,85016,MARICOPA,Not Available,Not Available,12.6
30083,PARADISE VALLEY HOSPITAL,AZ,85032,MARICOPA,17.2,13.9,13.9
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,86503,APACHE,Not Available,10.8,10.1
30085,NORTHWEST MEDICAL CENTER,AZ,85741,PIMA,18.3,12.8,12.3
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,AZ,85260,MARICOPA,13.9,9.1,10.4
30088,BANNER BAYWOOD MEDICAL CENTER,AZ,85206,MARICOPA,16,12.4,9.4
30089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,85306,MARICOPA,15.9,9,9.1
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,AZ,85027,MARICOPA,14.9,11.9,10
30093,BANNER DEL E WEBB MEDICAL CENTER,AZ,85375,MARICOPA,14.6,12.1,12.2
30094,ARROWHEAD HOSPITAL,AZ,85308,MARICOPA,15.9,11,12.4
30100,CARONDELET HEART AND VASCULAR INSTITUTE,AZ,85704,PIMA,12.2,9.8,11.5
30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,AZ,86442,MOHAVE,14.1,11.1,12.9
30103,MAYO CLINIC HOSPITAL,AZ,85054,MARICOPA,12,8.9,7.5
30105,BANNER HEART HOSPITAL,AZ,85206,MARICOPA,12.8,9.7,Not Available
30107,ARIZONA SPINE AND JOINT HOSPITAL,AZ,85206,MARICOPA,Not Available,Not Available,Not Available
30108,SURGICAL SPECIALTY HOSPITAL OF ARIZONA,AZ,85015,MARICOPA,Not Available,Not Available,Not Available
30110,WEST VALLEY HOSPITAL,AZ,85395,MARICOPA,17.1,11.6,12.2
30111,"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE",AZ,85713,PIMA,17,12.4,10.9
30112,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,AZ,85225,MARICOPA,Not Available,Not Available,Not Available
30113,WHITERIVER PHS INDIAN HOSPITAL,AZ,85941,NAVAJO,Not Available,Not Available,10.5
30114,ORO VALLEY HOSPITAL,AZ,85755,PIMA,15,12.5,9.1
30115,BANNER ESTRELLA MEDICAL CENTER,AZ,85037,MARICOPA,15.8,10.8,10.1
30117,VALLEY VIEW MEDICAL CENTER,AZ,86426,MOHAVE,15.9,11.1,11.6
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST,AZ,86314,YAVAPAI,Not Available,11.3,14.9
30119,MERCY GILBERT MEDICAL CENTER,AZ,85296,MARICOPA,16.1,10,10
30120,GILBERT HOSPITAL,AZ,85295,MARICOPA,Not Available,9.9,9.6
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",AZ,85209,MARICOPA,18,11.6,9.4
30122,BANNER GATEWAY MEDICAL CENTER,AZ,85234,MARICOPA,14.7,11.7,10.5
30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,AZ,85255,MARICOPA,Not Available,12.2,11.2
30126,ARIZONA REGIONAL MEDICAL CENTER,AZ,85201,MARICOPA,18.9,11.6,11.1
30130,BANNER IRONWOOD MEDICAL CENTER,AZ,85140,PINAL,Not Available,Not Available,Not Available
30131,OASIS HOSPITAL,AZ,85008,MARICOPA,Not Available,Not Available,Not Available
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,AZ,86313,YAVAPAI,Not Available,11.8,12.9
31300,WICKENBURG COMMUNITY HOSPITAL,AZ,85390,MARICOPA,Not Available,10.3,9.9
31301,BENSON HOSPITAL,AZ,85602,COCHISE,Not Available,Not Available,10.2
31302,NORTHERN COCHISE COMMUNITY HOSPITAL,AZ,85643,COCHISE,Not Available,Not Available,11.6
31303,SOUTHEAST ARIZONA MEDICAL CENTER,AZ,85607,COCHISE,Not Available,Not Available,10.2
31304,PAGE HOSPITAL,AZ,86040,COCONINO,Not Available,Not Available,Not Available
31305,HOPI HEALTH CARE CENTER,AZ,86042,NAVAJO,Not Available,Not Available,11
31309,SAGE MEMORIAL HOSPITAL,AZ,86505,APACHE,Not Available,Not Available,10.3
31311,LITTLE COLORADO MEDICAL CENTER,AZ,86047,NAVAJO,Not Available,Not Available,11.2
31312,COPPER QUEEN COMMUNITY HOSPITAL,AZ,85603,COCHISE,Not Available,Not Available,12
31313,CARONDELET HOLY CROSS HOSPITAL,AZ,85621,SANTA CRUZ,Not Available,Not Available,Not Available
31314,COBRE VALLEY REGIONAL MEDICAL CENTER,AZ,85501,GILA,14.4,8.9,8.7
31315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,AZ,85938,APACHE,Not Available,Not Available,10.9
33302,PHOENIX CHILDREN'S HOSPITAL,AZ,85016,MARICOPA,Not Available,Not Available,Not Available
40001,SILOAM SPRINGS MEMORIAL HOSPITAL,AR,72761,BENTON,15.6,11.8,13.8
40002,JOHNSON REGIONAL MEDICAL CENTER,AR,72830,JOHNSON,16.9,11.8,13.8
40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,AR,72703,WASHINGTON,15.2,13.9,13.4
40007,ST VINCENT INFIRMARY MEDICAL CENTER,AR,72205,PULASKI,16.9,12.8,12
40010,MERCY MEDICAL CENTER,AR,72758,BENTON,14.8,13,13.4
40011,"JOHN ED CHAMBERS MEM HOSP, INC",AR,72833,YELL,17.3,10,12.1
40014,WHITE COUNTY MEDICAL CENTER,AR,72143,WHITE,17.5,13.7,12.5
40015,MENA REGIONAL HEALTH SYSTEM,AR,71953,POLK,Not Available,13.5,13.3
40016,UAMS MEDICAL CENTER,AR,72205,PULASKI,16.5,12.1,12.6
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,72601,BOONE,17.2,11.2,11.8
40018,SUMMIT MEDICAL CENTER,AR,72956,CRAWFORD,Not Available,14,12.8
40019,FORREST CITY MEDICAL CENTER,AR,72335,SAINT FRANCIS,Not Available,12.8,15.3
40020,ST BERNARDS MEDICAL CTR,AR,72401,CRAIGHEAD,17.7,14.6,13.3
40022,"NW ARKANSAS HOSPITALS, LLC",AR,72764,WASHINGTON,17.3,11.9,11.5
40026,ST JOSEPHS MERCY HEALTH CENTER INC,AR,71903,GARLAND,17.4,14.3,11.3
40027,BAXTER REGIONAL MEDICAL CENTER,AR,72653,BAXTER,16.4,14.7,16.1
40029,CONWAY REGIONAL MEDICAL CENTER,AR,72034,FAULKNER,18.9,15.6,14.9
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,72117,PULASKI,14.4,13.3,10.2
40039,ARKANSAS METHODIST MEDICAL CENTER,AR,72450,GREENE,17.1,14.4,11.7
40041,ST MARYS REGIONAL MEDICAL CENTER,AR,72801,POPE,18.8,13.1,15.4
40042,CRITTENDEN MEMORIAL HOSPITAL,AR,72301,CRITTENDEN,14.4,10.9,12.6
40047,FIVE RIVERS MEDICAL CENTER,AR,72455,RANDOLPH,Not Available,14,11.4
40050,OUACHITA COUNTY MEDICAL CENTER,AR,71701,OUACHITA,Not Available,12.5,12.4
40051,DREW MEMORIAL HOSPITAL,AR,71655,DREW,Not Available,12.9,13.5
40055,SPARKS REGIONAL MEDICAL CENTER,AR,72901,SEBASTIAN,16.7,14,12.2
40062,ST EDWARD MERCY MEDICAL CENTER,AR,72917,SEBASTIAN,14.9,12.6,12.8
40067,MAGNOLIA HOSPITAL,AR,71754,COLUMBIA,Not Available,14.9,12.8
40069,GREAT RIVER MEDICAL CENTER,AR,72315,MISSISSIPPI,Not Available,14.2,15.2
40071,JEFFERSON REGIONAL MEDICAL CENTER,AR,71603,JEFFERSON,16.8,13.2,11
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR,72160,ARKANSAS,15.7,11,14.2
40074,NORTH METRO MEDICAL CENTER,AR,72076,PULASKI,17.1,9.6,13.4
40076,HOT SPRING COUNTY MEDICAL CENTER,AR,72104,HOT SPRING,15.8,14.4,11.5
40078,NATIONAL PARK MEDICAL CENTER,AR,71901,GARLAND,19.1,13.5,13.3
40080,HARRIS HOSPITAL,AR,72112,JACKSON,17.3,11.3,12.1
40084,SALINE MEMORIAL HOSPITAL,AR,72015,SALINE,15.7,14.4,12.2
40085,HELENA REGIONAL MEDICAL CENTER,AR,72342,PHILLIPS,Not Available,12.1,13.3
40088,MEDICAL CENTER SOUTH ARKANSAS,AR,71731,UNION,21.9,13.6,14.6
40091,MEDICAL PARK HOSPITAL,AR,71801,HEMPSTEAD,17.3,12.7,15.1
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,AR,72703,WASHINGTON,17.1,10.2,16.9
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,AR,72205,PULASKI,14.5,9,12.1
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,72205,PULASKI,14.7,11.1,11
40118,NEA BAPTIST MEMORIAL HOSPITAL,AR,72401,CRAIGHEAD,14.5,17.2,11.3
40119,WHITE RIVER MEDICAL CENTER,AR,72503,INDEPENDENCE,17.6,12.5,12.1
40132,LEO N LEVI NATIONAL ARTHRITIS HOSPITAL,AR,71901,GARLAND,Not Available,Not Available,Not Available
40134,ARKANSAS HEART HOSPITAL,AR,72211,PULASKI,11.9,13.3,10.4
40137,ST VINCENT MEDICAL CENTER/NORTH,AR,72120,PULASKI,Not Available,12.6,11.1
40147,ARKANSAS SURGICAL HOSPITAL,AR,72118,PULASKI,Not Available,Not Available,Not Available
40152,PHYSICIANS' SPECIALTY HOSPITAL,AR,72703,WASHINGTON,Not Available,Not Available,Not Available
41300,NORTH LOGAN MERCY HOSPITAL,AR,72855,LOGAN,Not Available,13.8,11.6
41302,RIVER VALLEY MEDICAL CENTER,AR,72834,YELL,Not Available,11.9,17.9
41303,MERCY HOSPITAL TURNER MEMORIAL,AR,72949,FRANKLIN,Not Available,Not Available,13
41304,"EUREKA SPRINGS HOSPITAL, LLC",AR,72632,CARROLL,Not Available,13.7,13.7
41305,MERCY HOSPITAL SCOTT COUNTY,AR,72958,SCOTT,Not Available,12.5,13.8
41306,COMMUNITY MEDICAL CENTER IZARD COUNTY,AR,72519,IZARD,Not Available,14.8,12.3
41307,CROSSRIDGE COMMUNITY HOSPITAL,AR,72396,CROSS,Not Available,11,11.2
41308,MCGEHEE HOSPITAL,AR,71654,DESHA,Not Available,12.8,15.3
41309,LAWRENCE MEMORIAL HOSPITAL,AR,72476,LAWRENCE,Not Available,10.9,12.4
41310,STONE COUNTY MEDICAL CENTER,AR,72560,STONE,Not Available,12.1,9.9
41311,HOWARD MEMORIAL HOSPITAL,AR,71852,HOWARD,Not Available,11.9,16.7
41312,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,AR,72543,CLEBURNE,Not Available,11.5,12
41313,OZARK HEALTH,AR,72031,VAN BUREN,Not Available,12.4,13.4
41314,"DEWITT HOSPITAL & NURSING HOME, INC",AR,72042,ARKANSAS,Not Available,12.5,13
41316,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,AR,72370,MISSISSIPPI,Not Available,12,10.8
41317,DALLAS COUNTY MEDICAL CENTER,AR,71742,DALLAS,Not Available,12.1,15.7
41318,BOONEVILLE COMMUNITY HOSPITAL,AR,72927,LOGAN,Not Available,15.7,12.8
41319,"DE QUEEN MEDICAL CENTER, INC",AR,71832,SEVIER,Not Available,13.2,11.6
41320,LITTLE RIVER MEMORIAL HOSPITAL,AR,71822,LITTLE RIVER,Not Available,10.7,12.3
41321,BAPTIST HEALTH MEDICSL CENTER-ARKADELPHIA,AR,71923,CLARK,Not Available,11.7,12.6
41323,ASHLEY COUNTY MEDICAL CENTER,AR,71635,ASHLEY,Not Available,13.1,14.3
41324,ST VINCENT MORRILTON,AR,72110,CONWAY,Not Available,13.2,15.2
41326,DELTA MEMORIAL HOSPITAL,AR,71639,DESHA,Not Available,12.6,11.7
41327,BRADLEY COUNTY MEDICAL CENTER,AR,71671,BRADLEY,Not Available,12.6,12.7
41328,CHICOT MEMORIAL MEDICAL CENTER,AR,71653,CHICOT,Not Available,12.3,14
41329,ST JOHN'S HOSPITAL-BERRYVILLE,AR,72616,CARROLL,Not Available,11.7,12.4
41330,PIGGOTT COMMUNITY HOSPITAL,AR,72454,CLAY,Not Available,11.6,11.3
41331,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,AR,72736,BENTON,Not Available,Not Available,12
43300,ARKANSAS CHILDREN'S HOSPITAL,AR,72202,PULASKI,Not Available,Not Available,Not Available
50002,ST ROSE HOSPITAL,CA,94545,ALAMEDA,15.3,10.6,10.3
50006,ST JOSEPH HOSPITAL,CA,95501,HUMBOLDT,18.6,14.4,11.9
50007,PENINSULA MEDICAL CENTER,CA,94010,SAN MATEO,16,11.8,10.4
50008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,CA,94114,SAN FRANCISCO,Not Available,11.9,10.8
50009,QUEEN OF THE VALLEY MEDICAL CENTER,CA,94558,NAPA,16.1,11.9,11.1
50013,ST HELENA HOSPITAL,CA,94574,NAPA,16.6,11.2,9.3
50014,SUTTER AMADOR HOSPITAL,CA,95642,AMADOR,16,15.8,12.7
